site_no, average, median, standard_deviation
5124480,-7957.82071,-41.56188612,25005.86812
5122000,-1530.824008,-36.17283605,3649.388031
5120500,-129.747359,-4.418880385,437.3688548
5120000,-1910.54608,-51.95649754,3196.795922
5117500,-100249.3668,-435.3449224,296824.495
5116500,-22804.78362,-4140.739826,42108.32763
5114000,-1518.1499,-150.9817606,2608.384238
5112000,-258.0552873,-75.2908567,383.970665
5107500,-282.9933009,-146.9704303,328.7244135
5106000,-32.9178168,-6.279045414,73.23780938
5104500,-972.5239871,-271.5562326,1521.749855
5100000,-86.81145872,-6.271158778,238.3988229
5099600,-156.188928,-13.77806581,322.1591261
5099400,-179.1068327,-77.99091374,227.2473257
5094000,-1215.20531,-438.8023336,1810.7668
5092000,-104.3512854,-60.70408094,152.2919238
5087500,-911.1800493,-211.7989029,2285.660361
5085000,-62.39003297,-7.264680307,157.9970033
5084000,-59.39542444,-19.74629135,81.81295716
5082625,-247.8097216,-10.15224475,652.5707444
5082500,-81.3963001,-40.87828639,104.5225925
5080000,-55.42886905,-41.52957594,57.02275787
5079000,-48.78750091,-21.63902609,54.48492602
5078500,-140.0729494,-50.78394242,290.6573653
5078230,-194.2504311,-16.89114691,477.0435459
5078000,-98.18784857,-17.99215605,150.92475
5075000,-39.57256462,-29.86163793,32.25420919
5074500,-41.32261412,-23.67550279,45.84892624
5070000,-77.70946478,-24.72216057,108.3583013
5069000,-22.08052302,-3.34303872,44.6121054
5066500,-39.19521398,-6.520670667,95.92081403
5064500,-93.06496199,-27.25561026,209.6825817
5064000,-119.6769242,-9.414495901,325.3383795
5063398,-19.28204026,-7.479249034,24.80701947
5062500,-98.10375126,-9.032174935,265.6801755
5062000,-36.73129278,-5.730845027,79.47629309
5061500,-446.9346441,-49.35282797,1655.334779
5061000,-6.432685359,-1.355322479,12.44344278
5060100,-385.093626,-62.5111392,765.0163646
5059700,-231.6264267,-68.99910361,436.27114
5059500,-57.5341243,-14.1823896,88.51479806
5059300,-62.27786981,-12.78623404,92.83202226
5059000,-55.60033228,-14.25244244,78.86143418
5058700,-44.93480079,-8.20796083,74.48047147
5058000,-42.13591156,-7.916171137,92.02698264
5057200,-221.2960837,-76.77509677,414.9431295
5057000,-796.8670882,-172.9805531,1835.044811
5056000,-2601.48448,-746.9386142,3727.474463
5055300,-142021.8018,-2173.946659,482278.91
5054500,-4509.755524,-234.2053949,15640.77588
5054000,-46.10749937,-11.79435641,82.38428517
5053000,-2024.809469,-595.2456887,3901.205679
5052000,-517.3200438,-89.03030118,991.4785128
5051522,-9.901730866,-2.685955548,14.41754334
5051300,-1529.162498,-4.393235819,5579.395289
5050000,-548.6903369,-2.652725937,1519.240172
5046000,-5.39805179,-2.731426218,6.378142048
5030500,-16.48330107,-3.586174148,44.64340259
5017500,-209.6142705,-16.91045806,808.7943903
5014500,-0.429615699,-0.218299884,0.791668358
