site_no, average,dec_lat_va,dec_long_va,NSE_state
1153550,0.321018765,43.1917433,-72.48508889,4
1161000,0.624947787,42.78591586,-72.4861996,3
1154000,0.565411663,43.13757777,-72.4881444,3
1177000,-0.680103273,42.16064906,-72.5139756,4
1195100,-0.204251179,41.3061722,-72.5310333,4
1184490,-1.504606399,41.9138972,-72.5497,4
1170500,-0.405671147,42.5802222,-72.5745,4
4285500,0.056651266,44.29950278,-72.57872119,4
1192500,-0.838570497,41.7831548,-72.5873114,4
4286000,0.031110532,44.25672595,-72.59344318,4
1184000,-0.533782501,41.9873186,-72.6053669,4
1172010,-0.9193614,42.19146944,-72.6093111,4
4287000,-0.036874319,44.1825606,-72.6406655,4
1170000,-0.493745402,42.53591957,-72.65342328,4
1142500,-0.539887056,43.93450969,-72.6578821,4
1171500,0.175195131,42.31897839,-72.6650907,4
1170100,-0.168336645,42.70341695,-72.67064738,4
4292000,0.105328852,44.6228287,-72.6762308,4
1304500,-283.0291114,40.9136111,-72.6866667,4
1169900,-1.038855611,42.5420303,-72.69370179,4
4293500,0.211735852,44.96004599,-72.696521,4
1183500,0.487344176,42.1067602,-72.698981,4
1192883,0.417277037,41.5202333,-72.7065306,4
1191000,-1.59562493,41.78443889,-72.7080556,4
1184100,0.449116726,41.96083889,-72.7104861,4
1169000,0.271026728,42.63841775,-72.7250922,4
4288000,0.027107202,44.2772802,-72.7426163,4
1150900,0.328556919,43.62229069,-72.7589899,4
1189995,0.148681572,41.9082833,-72.75935278,4
4289000,-0.949435239,44.37033339,-72.7687298,4
4288225,0.07076257,44.52338556,-72.7717885,4
1155500,0.402718203,43.1089665,-72.775374,4
1196561,0.187186682,41.4356083,-72.7794917,4
4288230,0.146632003,44.5039413,-72.7817883,4
4294300,0.142960344,45.00282217,-72.83346858,4
1196500,-0.078779158,41.45026389,-72.841275,4
1168500,-0.857966152,42.626,-72.8541944,4
1179500,0.189722935,42.28786655,-72.8642636,4
1195490,-2.056421662,41.6034722,-72.8832,4
1188090,0.024176248,41.7555472,-72.8870417,4
1181000,0.509655116,42.23731169,-72.895654,3
1196620,0.319771856,41.42041389,-72.9026583,4
1305000,-4201.794131,40.83027778,-72.9061111,4
